"Status","Year","Ethnicity","Organisation","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Outside London","25","20","[c]","[c]"
"In post","2022","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Disclosure Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Driver and Vehicle Licensing Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Driver and Vehicle Licensing Agency","Department for Transport","Outside London","20","20","[c]","[c]"
"In post","2022","Black","Driver and Vehicle Standards Agency","Department for Transport","London","20","20","[c]","[c]"
"In post","2022","Black","Driver and Vehicle Standards Agency","Department for Transport","Outside London","30","30","31170","30430"
"In post","2022","Black","Education and Skills Funding Agency","Department for Education","London","20","20","[c]","[c]"
"In post","2022","Black","Education and Skills Funding Agency","Department for Education","Outside London","35","35","38200","36500"
"In post","2022","Black","Education and Skills Funding Agency","Department for Education","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Education Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Estyn","Estyn","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","FCDO Services","Foreign, Commonwealth and Development Office","London","10","10","[c]","[c]"
"In post","2022","Black","FCDO Services","Foreign, Commonwealth and Development Office","Outside London","20","20","[c]","[c]"
"In post","2022","Black","FCDO Services","Foreign, Commonwealth and Development Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Food Standards Agency","Food Standards Agency","London","5","5","[c]","[c]"
"In post","2022","Black","Food Standards Agency","Food Standards Agency","Outside London","40","40","34820","28800"
"In post","2022","Black","Food Standards Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","London","165","165","37940","35500"
"In post","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Outside London","20","20","[c]","[c]"
"In post","2022","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Overseas","45","45","44800","37500"
"In post","2022","Black","Forestry and Land Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Government Actuary's Department","Chancellor's other departments","London","5","5","[c]","[c]"
"In post","2022","Black","Government Actuary's Department","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Government Internal Audit Agency","HM Treasury","London","20","20","[c]","[c]"
"In post","2022","Black","Government Internal Audit Agency","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Government Legal Department","Attorney General's Departments","London","185","180","42180","36370"
"In post","2022","Black","Government Legal Department","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Government Property Agency","Cabinet Office","London","5","5","[c]","[c]"
"In post","2022","Black","Government Property Agency","Cabinet Office","Outside London","10","10","[c]","[c]"
"In post","2022","Black","Health and Safety Executive","Department for Work and Pensions","London","10","10","[c]","[c]"
"In post","2022","Black","Health and Safety Executive","Department for Work and Pensions","Outside London","25","25","[c]","[c]"
"In post","2022","Black","HM Courts and Tribunals Service","Ministry of Justice","London","670","635","27680","24310"
"In post","2022","Black","HM Courts and Tribunals Service","Ministry of Justice","Outside London","270","250","25350","21410"
"In post","2022","Black","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Land Registry","HM Land Registry","London","30","30","[c]","[c]"
"In post","2022","Black","HM Land Registry","HM Land Registry","Outside London","40","40","29900","27130"
"In post","2022","Black","HM Prison and Probation Service","Ministry of Justice","London","1520","1480","33320","32280"
"In post","2022","Black","HM Prison and Probation Service","Ministry of Justice","Outside London","1115","1070","29710","28200"
"In post","2022","Black","HM Prison and Probation Service","Ministry of Justice","Unknown","5","5","[c]","[c]"
"In post","2022","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","London","890","865","38390","37610"
"In post","2022","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Outside London","930","895","29500","26820"
"In post","2022","Black","HM Treasury (excl. agencies)","HM Treasury","London","70","70","38690","32320"
"In post","2022","Black","HM Treasury (excl. agencies)","HM Treasury","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","HM Treasury (excl. agencies)","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Home Office","Home Office","London","1475","1395","34490","29370"
"In post","2022","Black","Home Office","Home Office","Outside London","315","295","27260","25040"
"In post","2022","Black","Home Office","Home Office","Overseas","15","15","[c]","[c]"
"In post","2022","Black","Institute for Apprenticeships and Technical Education","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Institute for Apprenticeships and Technical Education","Department for Education","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Outside London","15","15","[c]","[c]"
"In post","2022","Black","Legal Aid Agency","Ministry of Justice","London","15","15","[c]","[c]"
"In post","2022","Black","Legal Aid Agency","Ministry of Justice","Outside London","30","25","[c]","[c]"
"In post","2022","Black","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Maritime and Coastguard Agency","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Maritime and Coastguard Agency","Department for Transport","Outside London","5","5","[c]","[c]"
"In post","2022","Black","Maritime and Coastguard Agency","Department for Transport","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","London","55","55","39670","32960"
"In post","2022","Black","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Outside London","10","10","[c]","[c]"
"In post","2022","Black","Met Office","Department for Business, Energy and Industrial Strategy","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Met Office","Department for Business, Energy and Industrial Strategy","Outside London","5","5","[c]","[c]"
"In post","2022","Black","Met Office","Department for Business, Energy and Industrial Strategy","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","London","210","210","34620","30750"
"In post","2022","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","Outside London","295","285","31920","30750"
"In post","2022","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","Overseas","5","5","[c]","[c]"
"In post","2022","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","London","330","325","39040","34790"
"In post","2022","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","Outside London","40","40","35770","32590"
"In post","2022","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Crime Agency","National Crime Agency","London","75","75","36630","36200"
"In post","2022","Black","National Crime Agency","National Crime Agency","Outside London","25","25","[c]","[c]"
"In post","2022","Black","National Crime Agency","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Crime Agency","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Infrastructure Commission","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Records of Scotland","Scottish Government","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","National Savings and Investments","Chancellor's other departments","London","15","15","[c]","[c]"
"In post","2022","Black","National Savings and Investments","Chancellor's other departments","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland Office","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland Office","Northern Ireland Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office for Budget Responsibility","HM Treasury","London","[c]","[c]","[c]","[c]"
"In post","2022","Black","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","London","25","25","[c]","[c]"
