"Status","Year","Age","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","150","150","32290","30530"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Operational Delivery","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Science and Engineering","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Security","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Tax","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Digital, Data & Technology","Unknown","25","25","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Finance","65","65","33280","30120"
"In post","2022","20-29","Declared disabled","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Property","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Security","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Tax","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Grants Management","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Grants Management","Operational Delivery","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Human Resources","125","125","33020","30660"
"In post","2022","20-29","Declared disabled","Human Resources","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Operational Delivery","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Property","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Tax","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Human Resources","Unknown","40","40","30450","27500"
"In post","2022","20-29","Declared disabled","Internal Audit","Internal Audit","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Internal Audit","Operational Delivery","[c]","[c]","[c]","[c]"
