"Status","Year","Disability","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","London","Heterosexual / straight","660","650","56060","50190"
"In post","2022","Declared non-disabled","Commercial","London","LGBO","45","45","46500","44080"
"In post","2022","Declared non-disabled","Commercial","London","Undeclared","45","45","54230","44980"
"In post","2022","Declared non-disabled","Commercial","London","Unknown","55","55","75370","64500"
"In post","2022","Declared non-disabled","Commercial","Outside London","Heterosexual / straight","2205","2130","39910","37380"
"In post","2022","Declared non-disabled","Commercial","Outside London","LGBO","90","90","35320","33290"
"In post","2022","Declared non-disabled","Commercial","Outside London","Undeclared","195","185","37940","36500"
"In post","2022","Declared non-disabled","Commercial","Outside London","Unknown","150","145","38790","36540"
"In post","2022","Declared non-disabled","Commercial","Overseas","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Unknown","Heterosexual / straight","30","30","45400","45760"
"In post","2022","Declared non-disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","London","Heterosexual / straight","1135","1110","49120","45010"
"In post","2022","Declared non-disabled","Communications","London","LGBO","105","105","45700","43490"
"In post","2022","Declared non-disabled","Communications","London","Undeclared","80","80","45540","40600"
"In post","2022","Declared non-disabled","Communications","London","Unknown","70","70","46620","42300"
"In post","2022","Declared non-disabled","Communications","Outside London","Heterosexual / straight","3055","2935","32210","28920"
"In post","2022","Declared non-disabled","Communications","Outside London","LGBO","205","200","31480","26820"
"In post","2022","Declared non-disabled","Communications","Outside London","Undeclared","160","150","31800","29180"
"In post","2022","Declared non-disabled","Communications","Outside London","Unknown","190","180","32280","30000"
"In post","2022","Declared non-disabled","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Counter Fraud","London","Heterosexual / straight","1780","1695","38590","36650"
"In post","2022","Declared non-disabled","Counter Fraud","London","LGBO","85","85","37190","33100"
"In post","2022","Declared non-disabled","Counter Fraud","London","Undeclared","180","165","35930","33440"
"In post","2022","Declared non-disabled","Counter Fraud","London","Unknown","345","310","32900","31880"
"In post","2022","Declared non-disabled","Counter Fraud","Outside London","Heterosexual / straight","6875","6370","31640","27570"
"In post","2022","Declared non-disabled","Counter Fraud","Outside London","LGBO","320","310","31210","27570"
"In post","2022","Declared non-disabled","Counter Fraud","Outside London","Undeclared","575","515","30510","27570"
"In post","2022","Declared non-disabled","Counter Fraud","Outside London","Unknown","1195","1040","29040","27570"
