"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Intelligence Analysis","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2022","Intelligence Analysis","Overseas","SEO/HEO","Male","30","30","[c]","[c]"
"In post","2022","Internal Audit","London","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Internal Audit","London","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Internal Audit","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","London","G6/G7","Female","30","25","[c]","[c]"
"In post","2022","Internal Audit","London","G6/G7","Male","45","40","63050","60920"
"In post","2022","Internal Audit","London","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Internal Audit","London","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Internal Audit","London","SEO/HEO","Female","55","50","43140","43810"
"In post","2022","Internal Audit","London","SEO/HEO","Male","55","55","43440","43620"
"In post","2022","Internal Audit","Outside London","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Internal Audit","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Outside London","EO","Female","25","25","[c]","[c]"
"In post","2022","Internal Audit","Outside London","EO","Male","15","15","[c]","[c]"
"In post","2022","Internal Audit","Outside London","G6/G7","Female","65","65","57110","55210"
