"Status","Year","Age","Disability","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Declared disabled","HM Treasury","SEO/HEO","65","65","33700","32320"
"In post","2022","20-29","Declared disabled","Home Office","AA/AO","45","40","21830","21680"
"In post","2022","20-29","Declared disabled","Home Office","EO","90","90","26130","24890"
"In post","2022","20-29","Declared disabled","Home Office","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Home Office","SEO/HEO","45","45","36300","35070"
"In post","2022","20-29","Declared disabled","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Ministry of Defence","AA/AO","85","85","22590","21170"
"In post","2022","20-29","Declared disabled","Ministry of Defence","EO","160","160","25340","26350"
"In post","2022","20-29","Declared disabled","Ministry of Defence","G6/G7","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Ministry of Defence","SEO/HEO","200","195","33250","33000"
"In post","2022","20-29","Declared disabled","Ministry of Defence","Unknown","40","40","29330","29650"
"In post","2022","20-29","Declared disabled","Ministry of Justice","AA/AO","530","520","24070","23140"
"In post","2022","20-29","Declared disabled","Ministry of Justice","EO","120","120","28030","26510"
"In post","2022","20-29","Declared disabled","Ministry of Justice","G6/G7","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Ministry of Justice","SEO/HEO","115","110","35160","34260"
"In post","2022","20-29","Declared disabled","Ministry of Justice","Unknown","325","320","25740","24090"
"In post","2022","20-29","Declared disabled","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","National Crime Agency","EO","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","National Crime Agency","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of Gas and Electricity Markets","EO","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
