"Status","Year","Organisation","Region_ITL3","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Animal and Plant Health Agency","South West Wales","Outside London","Female","100","90","27240","24920"
"In post","2022","Animal and Plant Health Agency","South West Wales","Outside London","Male","50","50","30510","26520"
"In post","2022","Animal and Plant Health Agency","Staffordshire CC","Outside London","Female","50","45","25920","24920"
"In post","2022","Animal and Plant Health Agency","Staffordshire CC","Outside London","Male","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Suffolk CC","Outside London","Female","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Suffolk CC","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Telford and Wrekin","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Telford and Wrekin","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Thurrock","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Thurrock","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Tyneside","Outside London","Female","30","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Tyneside","Outside London","Male","25","20","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Surrey","Outside London","Female","385","365","32420","28430"
"In post","2022","Animal and Plant Health Agency","West Surrey","Outside London","Male","260","250","34800","32560"
"In post","2022","Animal and Plant Health Agency","West Sussex (North East)","Outside London","Female","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Sussex (North East)","Outside London","Male","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Sussex (South West)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","West Sussex (South West)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Westminster","London","Female","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Westminster","London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Wiltshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Wiltshire","Outside London","Male","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Worcestershire CC","Outside London","Female","100","90","28550","26520"
"In post","2022","Animal and Plant Health Agency","Worcestershire CC","Outside London","Male","70","65","32360","29660"
"In post","2022","Animal and Plant Health Agency","York","Outside London","Female","35","30","23020","21300"
"In post","2022","Animal and Plant Health Agency","York","Outside London","Male","35","35","24710","23960"
"In post","2022","Attorney General's Office","Westminster","London","Female","30","25","[c]","[c]"
"In post","2022","Attorney General's Office","Westminster","London","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Ards and North Down","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Ards and North Down","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Female","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Male","30","30","56300","53320"
"In post","2022","Cabinet Office (excl. agencies)","Belfast","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Belfast","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Berkshire","Outside London","Female","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Berkshire","Outside London","Male","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Birmingham","Outside London","Female","55","55","47860","33310"
"In post","2022","Cabinet Office (excl. agencies)","Birmingham","Outside London","Male","50","50","58740","54700"
"In post","2022","Cabinet Office (excl. agencies)","Blackpool","Outside London","Female","25","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Blackpool","Outside London","Male","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Bradford","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Bradford","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Brighton and Hove","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Brighton and Hove","Outside London","Male","[c]","[c]","[c]","[c]"
