"Status","Year","Age","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","50-59","Unknown","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Finance","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Finance","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Finance","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Human Resources","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Human Resources","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Legal","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Legal","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Legal","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Legal","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","No function","AA/AO","250","[c]","22040","21540"
"Leaver CS","2022","50-59","Unknown","No function","EO","175","[c]","29570","27570"
"Leaver CS","2022","50-59","Unknown","No function","G6/G7","105","[c]","60880","56950"
"Leaver CS","2022","50-59","Unknown","No function","SCS level","40","[c]","105060","98450"
"Leaver CS","2022","50-59","Unknown","No function","SEO/HEO","150","[c]","38800","39770"
"Leaver CS","2022","50-59","Unknown","No function","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Project Delivery","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Project Delivery","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Project Delivery","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Property","AA/AO","25","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Property","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Property","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Security","AA/AO","40","[c]","31280","39070"
"Leaver CS","2022","50-59","Unknown","Security","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Security","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Unknown","AA/AO","270","[c]","22320","21260"
"Leaver CS","2022","50-59","Unknown","Unknown","EO","140","[c]","27880","27570"
"Leaver CS","2022","50-59","Unknown","Unknown","G6/G7","50","[c]","63100","59200"
"Leaver CS","2022","50-59","Unknown","Unknown","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Unknown","SEO/HEO","80","[c]","40660","39890"
"Leaver CS","2022","50-59","Unknown","Unknown","Unknown","40","[c]","37880","34310"
"Leaver CS","2022","60-64","Declared disabled","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Analysis","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Commercial","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Counter Fraud","EO","15","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Declared disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
