"Status","Year","Function_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Tower Hamlets","London","G6/G7","325","310","62070","60280"
"In post","2022","Analysis","Tower Hamlets","London","SCS level","35","35","99160","95700"
"In post","2022","Analysis","Tower Hamlets","London","SEO/HEO","275","275","39030","40450"
"In post","2022","Analysis","Tyneside","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2022","Analysis","Tyneside","Outside London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Tyneside","Outside London","G6/G7","50","45","54830","52150"
"In post","2022","Analysis","Tyneside","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Tyneside","Outside London","SEO/HEO","85","80","34460","33860"
"In post","2022","Analysis","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2022","Analysis","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wakefield","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Walsall","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Warwickshire CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Cumbria","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Cumbria","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Kent","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Northamptonshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Northamptonshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Surrey","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Surrey","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Surrey","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Sussex (South West)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Sussex (South West)","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","West Sussex (South West)","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Westminster","London","AA/AO","55","50","24580","24900"
"In post","2022","Analysis","Westminster","London","EO","190","185","28790","27850"
"In post","2022","Analysis","Westminster","London","G6/G7","1080","1040","59430","57230"
"In post","2022","Analysis","Westminster","London","SCS level","95","90","86570","78840"
"In post","2022","Analysis","Westminster","London","SEO/HEO","1145","1130","37830","37610"
"In post","2022","Analysis","Wiltshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Analysis","Wiltshire","Outside London","G6/G7","35","35","50530","47040"
"In post","2022","Analysis","Wiltshire","Outside London","SEO/HEO","90","85","35090","38070"
"In post","2022","Analysis","Wirral","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wirral","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Wolverhampton","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wolverhampton","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Wolverhampton","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Worcestershire CC","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Worcestershire CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","York","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","York","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","York","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Aberdeen City and Aberdeenshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Antrim and Newtownabbey","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Armagh City, Banbridge and Craigavon","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Barnet","London","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Barnet","London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","80","75","25630","26670"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","165","160","58490","55080"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SCS level","20","20","109920","109540"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","375","360","37070","38020"
"In post","2022","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","Unknown","130","125","40600","37530"
"In post","2022","Commercial","Belfast","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Berkshire","Outside London","SEO/HEO","10","10","38900","38940"
"In post","2022","Commercial","Birmingham","Outside London","EO","10","10","26690","25520"
"In post","2022","Commercial","Birmingham","Outside London","G6/G7","25","25","70370","68330"
"In post","2022","Commercial","Birmingham","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Birmingham","Outside London","SEO/HEO","30","30","37170","38330"
"In post","2022","Commercial","Blackburn with Darwen","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Blackpool","Outside London","G6/G7","30","30","60570","64150"
