"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Shropshire and Staffordshire","G7","30","25","[c]","[c]"
"In post","2022","Asian","Shropshire and Staffordshire","HEO","50","50","34550","33300"
"In post","2022","Asian","Shropshire and Staffordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Shropshire and Staffordshire","SEO","45","45","43360","40550"
"In post","2022","Asian","Shropshire and Staffordshire","Unknown","15","15","[c]","[c]"
"In post","2022","Asian","South Yorkshire","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","South Yorkshire","AO","150","135","21560","21680"
"In post","2022","Asian","South Yorkshire","EO","155","145","26060","25240"
"In post","2022","Asian","South Yorkshire","G6","5","5","[c]","[c]"
"In post","2022","Asian","South Yorkshire","G7","45","45","51780","50530"
"In post","2022","Asian","South Yorkshire","HEO","70","70","31760","30830"
"In post","2022","Asian","South Yorkshire","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","South Yorkshire","SEO","35","35","38630","37450"
"In post","2022","Asian","South Yorkshire","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Southern Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","AO","25","20","[c]","[c]"
"In post","2022","Asian","Southern Scotland","EO","10","10","[c]","[c]"
"In post","2022","Asian","Southern Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","G7","5","5","[c]","[c]"
"In post","2022","Asian","Southern Scotland","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Southern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Southern Scotland","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","AA","30","30","20960","19810"
"In post","2022","Asian","Surrey, East and West Sussex","AO","75","70","24660","24370"
"In post","2022","Asian","Surrey, East and West Sussex","EO","155","145","28460","28350"
"In post","2022","Asian","Surrey, East and West Sussex","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","G7","20","20","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","HEO","50","45","35140","33830"
"In post","2022","Asian","Surrey, East and West Sussex","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","SEO","20","20","[c]","[c]"
"In post","2022","Asian","Surrey, East and West Sussex","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","AA","5","5","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","AO","50","40","22100","21680"
"In post","2022","Asian","Tees Valley and Durham","EO","35","35","26750","27570"
"In post","2022","Asian","Tees Valley and Durham","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","G7","10","10","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Tees Valley and Durham","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","AO","50","40","24120","25110"
"In post","2022","Asian","Unknown","EO","80","75","29930","30330"
"In post","2022","Asian","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","G7","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Unknown","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","West Central Scotland","AA","15","15","[c]","[c]"
"In post","2022","Asian","West Central Scotland","AO","105","90","22150","21260"
"In post","2022","Asian","West Central Scotland","EO","105","100","26890","27230"
