"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Project Delivery","EO","EO","2350","2230","24840","25750"
"In post","2022","Declared non-disabled","Project Delivery","G6/G7","G6","1505","1460","68290","67910"
"In post","2022","Declared non-disabled","Project Delivery","G6/G7","G7","3615","3515","53790","54540"
"In post","2022","Declared non-disabled","Project Delivery","SCS level","SCS level","465","455","92650","84220"
"In post","2022","Declared non-disabled","Project Delivery","SEO/HEO","HEO","4420","4230","32250","33000"
"In post","2022","Declared non-disabled","Project Delivery","SEO/HEO","SEO","4840","4675","40600","40520"
"In post","2022","Declared non-disabled","Project Delivery","Unknown","Unknown","1145","1120","41100","39760"
"In post","2022","Declared non-disabled","Property","AA/AO","AA","295","290","18260","17480"
"In post","2022","Declared non-disabled","Property","AA/AO","AO","645","585","22360","22010"
"In post","2022","Declared non-disabled","Property","EO","EO","1210","1140","26740","26880"
"In post","2022","Declared non-disabled","Property","G6/G7","G6","385","380","66700","65370"
"In post","2022","Declared non-disabled","Property","G6/G7","G7","890","865","55100","54540"
"In post","2022","Declared non-disabled","Property","SCS level","SCS level","80","80","90130","82120"
"In post","2022","Declared non-disabled","Property","SEO/HEO","HEO","1460","1415","33410","33300"
"In post","2022","Declared non-disabled","Property","SEO/HEO","SEO","1275","1220","42490","42170"
"In post","2022","Declared non-disabled","Property","Unknown","Unknown","40","40","22810","24080"
"In post","2022","Declared non-disabled","Security","AA/AO","AA","1625","1590","20610","19810"
"In post","2022","Declared non-disabled","Security","AA/AO","AO","1765","1720","31190","28890"
"In post","2022","Declared non-disabled","Security","EO","EO","960","930","31730","28670"
"In post","2022","Declared non-disabled","Security","G6/G7","G6","100","95","68510","67840"
"In post","2022","Declared non-disabled","Security","G6/G7","G7","310","305","56650","55210"
"In post","2022","Declared non-disabled","Security","SCS level","SCS level","40","40","91290","83880"
"In post","2022","Declared non-disabled","Security","SEO/HEO","HEO","1140","1110","35910","33860"
"In post","2022","Declared non-disabled","Security","SEO/HEO","SEO","635","625","44170","42470"
"In post","2022","Declared non-disabled","Security","Unknown","Unknown","130","130","32850","28610"
"In post","2022","Declared non-disabled","Unknown","AA/AO","AA","2445","2275","20340","19810"
"In post","2022","Declared non-disabled","Unknown","AA/AO","AO","10400","9545","22650","21680"
"In post","2022","Declared non-disabled","Unknown","EO","EO","15930","14885","27470","27230"
"In post","2022","Declared non-disabled","Unknown","G6/G7","G6","2150","2055","71660","69800"
"In post","2022","Declared non-disabled","Unknown","G6/G7","G7","4750","4590","57810","57460"
"In post","2022","Declared non-disabled","Unknown","SCS level","SCS level","760","735","88770","82810"
"In post","2022","Declared non-disabled","Unknown","SEO/HEO","HEO","9730","9365","34370","33900"
