"Status","Year","Disability","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Charity Commission","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Charity Commission","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Counter Fraud","AA/AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Operational Delivery","AA/AO","30","25","21970","22740"
"In post","2022","Declared disabled","Companies House","Operational Delivery","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Security","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Companies House","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
