"Status","Year","Region_ITL2","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Female","Undeclared","35","30","21020","21260"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Female","Unknown","85","75","21050","21260"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Male","Heterosexual / straight","225","220","21260","21260"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Male","LGBO","15","15","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Male","Undeclared","35","30","21840","21260"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Male","Unknown","50","45","21070","21260"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","EO","Female","Heterosexual / straight","245","215","27390","27570"
"In post","2022","Cornwall and Isles of Scilly","EO","Female","LGBO","15","10","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","EO","Female","Undeclared","35","30","27610","27570"
"In post","2022","Cornwall and Isles of Scilly","EO","Female","Unknown","50","40","27460","27570"
"In post","2022","Cornwall and Isles of Scilly","EO","Male","Heterosexual / straight","175","170","27170","27570"
"In post","2022","Cornwall and Isles of Scilly","EO","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","EO","Male","Undeclared","30","25","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","EO","Male","Unknown","40","35","27180","27570"
"In post","2022","Cornwall and Isles of Scilly","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Female","Undeclared","5","5","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Male","Heterosexual / straight","35","30","57670","55610"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Male","Unknown","10","5","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Female","Heterosexual / straight","110","100","35550","34290"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Female","LGBO","5","5","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Female","Unknown","15","15","[c]","[c]"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Male","Heterosexual / straight","105","100","35970","35230"
"In post","2022","Cornwall and Isles of Scilly","SEO/HEO","Male","LGBO","[c]","[c]","[c]","[c]"
