"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Medicine","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","London","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Medicine","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicine","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","East Midlands (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","Heterosexual / straight","95","95","41920","37430"
"In post","2022","Analysis","Operational Delivery","London","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","London","Unknown","40","40","45770","41750"
"In post","2022","Analysis","Operational Delivery","North East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","North West (England)","Heterosexual / straight","30","30","35060","34040"
"In post","2022","Analysis","Operational Delivery","North West (England)","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","North West (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","North West (England)","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Scotland","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","South East (England)","Heterosexual / straight","90","85","32820","30210"
"In post","2022","Analysis","Operational Delivery","South East (England)","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","South East (England)","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","South East (England)","Unknown","35","35","31000","30210"
"In post","2022","Analysis","Operational Delivery","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","South West (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Wales","Heterosexual / straight","230","215","32150","30710"
"In post","2022","Analysis","Operational Delivery","Wales","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Wales","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Wales","Unknown","115","110","32510","30710"
"In post","2022","Analysis","Operational Delivery","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Yorkshire and The Humber","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Yorkshire and The Humber","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Delivery","Yorkshire and The Humber","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","East Midlands (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Operational Research","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","London","Heterosexual / straight","170","160","52170","54160"
"In post","2022","Analysis","Operational Research","London","LGBO","25","25","[c]","[c]"
"In post","2022","Analysis","Operational Research","London","Undeclared","30","25","[c]","[c]"
"In post","2022","Analysis","Operational Research","London","Unknown","35","35","47940","48230"
"In post","2022","Analysis","Operational Research","North East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","North West (England)","Heterosexual / straight","50","50","43670","40520"
"In post","2022","Analysis","Operational Research","North West (England)","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Operational Research","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Operational Research","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
