"Status","Year","Disability","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Declared disabled","Outside London","SEO/HEO","635","[c]","34030","33080"
"New entrant CS","2022","Declared disabled","Outside London","Unknown","1005","[c]","28660","26310"
"New entrant CS","2022","Declared disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Overseas","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","AA/AO","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","EO","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Unknown","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","London","AA/AO","880","[c]","25110","24590"
"New entrant CS","2022","Declared non-disabled","London","EO","1835","[c]","28790","28700"
"New entrant CS","2022","Declared non-disabled","London","G6/G7","955","[c]","57480","54700"
"New entrant CS","2022","Declared non-disabled","London","SCS level","90","[c]","101220","93000"
"New entrant CS","2022","Declared non-disabled","London","SEO/HEO","2425","[c]","36660","35570"
"New entrant CS","2022","Declared non-disabled","London","Unknown","540","[c]","34540","31000"
"New entrant CS","2022","Declared non-disabled","Outside London","AA/AO","12345","[c]","21820","21260"
"New entrant CS","2022","Declared non-disabled","Outside London","EO","6765","[c]","26660","27230"
"New entrant CS","2022","Declared non-disabled","Outside London","G6/G7","1540","[c]","54800","52080"
"New entrant CS","2022","Declared non-disabled","Outside London","SCS level","80","[c]","88920","84560"
"New entrant CS","2022","Declared non-disabled","Outside London","SEO/HEO","5585","[c]","34570","33080"
"New entrant CS","2022","Declared non-disabled","Outside London","Unknown","3600","[c]","28070","24800"
"New entrant CS","2022","Declared non-disabled","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Overseas","SEO/HEO","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","AA/AO","70","[c]","21270","21260"
"New entrant CS","2022","Declared non-disabled","Unknown","EO","50","[c]","28290","27570"
"New entrant CS","2022","Declared non-disabled","Unknown","G6/G7","25","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Declared non-disabled","Unknown","SEO/HEO","55","[c]","34390","34500"
"New entrant CS","2022","Declared non-disabled","Unknown","Unknown","50","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","London","AA/AO","50","[c]","24610","24310"
"New entrant CS","2022","Undeclared","London","EO","105","[c]","28730","29970"
"New entrant CS","2022","Undeclared","London","G6/G7","60","[c]","57530","54700"
