"Status","Year","Age","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","20-29","Declared disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Sefton","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Sheffield","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Shropshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Solihull","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Somerset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","South and West Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","South Ayrshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","South Lanarkshire","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","South Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","South Teesside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Southend-on-Sea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Staffordshire CC","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Suffolk CC","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Sunderland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Telford and Wrekin","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Thurrock","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Torbay","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Tower Hamlets","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Tyneside","20","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Wakefield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Walsall","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Wandsworth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Warrington","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","Warwickshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","West Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","West Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","West Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","West Lothian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","West Northamptonshire","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","West Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Declared disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
