"Status","Year","Parent_department","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Charity Commission","SEO","Female","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Charity Commission","SEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Charity Commission","SEO","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Charity Commission","SEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Charity Commission","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
