"Status","Year","Disability","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","400","375","39510","34290"
"In post","2022","Declared disabled","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","45","45","39210","39280"
"In post","2022","Declared disabled","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","25","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","30","25","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Health and Safety Executive","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Courts and Tribunals Service","Ministry of Justice","40","40","41540","38180"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Land Registry","HM Land Registry","55","50","36970","38450"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","240","230","40220","35980"
"In post","2022","Declared disabled","Digital, Data & Technology","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Maritime and Coastguard Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Met Office","Department for Business, Energy and Industrial Strategy","75","70","33530","33520"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Defence (excl. agencies)","Ministry of Defence","295","285","32930","33000"
"In post","2022","Declared disabled","Digital, Data & Technology","Ministry of Justice (excl. agencies)","Ministry of Justice","85","80","45940","43480"
"In post","2022","Declared disabled","Digital, Data & Technology","National Crime Agency","National Crime Agency","20","15","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Registers of Scotland","Scottish Government","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Submarine Delivery Agency","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","The National Archives","The National Archives","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Health Security Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Hydrographic Office","Ministry of Defence","20","20","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Statistics Authority","UK Statistics Authority","55","50","40600","36840"
"In post","2022","Declared disabled","Digital, Data & Technology","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Digital, Data & Technology","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Cabinet Office (excl. agencies)","Cabinet Office","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Crown Prosecution Service","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Defence Equipment and Support","Ministry of Defence","35","35","34070","28900"
"In post","2022","Declared disabled","Finance","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Education (excl. agencies)","Department for Education","30","30","40380","36730"
"In post","2022","Declared disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","50","50","40830","36970"
"In post","2022","Declared disabled","Finance","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","15","10","[c]","[c]"
"In post","2022","Declared disabled","Finance","Department for Transport (excl. agencies)","Department for Transport","15","10","[c]","[c]"
